"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
1978561,"April 15, 2021","District of Columbia",Washington,"1800 block of West Virginia Ave NE",0,4,N/A
1978635,"April 15, 2021",Indiana,Indianapolis,"8951 Mirabel Rd",8,5,N/A
1978652,"April 15, 2021",Illinois,Chicago,"600 block of N Sawyer Ave",0,4,N/A
1978616,"April 15, 2021",Florida,Pensacola,"700 Truman Ave",0,6,N/A
1976538,"April 13, 2021",Maryland,Baltimore,"2300 block of Hoffman St",0,4,N/A
1975296,"April 12, 2021",Illinois,Chicago,"I-290 and S Damen Ave",1,3,N/A
1974943,"April 11, 2021",Kansas,Wichita,"200 block of N Battin St",1,3,N/A
1975004,"April 11, 2021",Washington,Seattle,"306 23rd Ave S",0,4,N/A
1974088,"April 10, 2021",Tennessee,Memphis,"4315 S 3rd St",1,3,N/A
1973692,"April 10, 2021",Missouri,Koshkonong,"US-63 and MO-F",1,3,N/A
1975405,"April 10, 2021",Connecticut,Waterbury,"36 Gasparri Ln",0,4,N/A
1973809,"April 10, 2021",Michigan,Allendale,"4926 Becker Dr",0,4,N/A
1973844,"April 9, 2021",Texas,"Fort Worth","2000 block of SW Loop 820",1,5,N/A
1972187,"April 8, 2021",Texas,Bryan,"350 Stone City Dr",1,5,N/A
1971410,"April 7, 2021","South Carolina","Rock Hill","4456 Marshall Rd",7,0,N/A
1970937,"April 7, 2021",Wisconsin,Milwaukee,"2627 W Capitol Dr",2,3,N/A
1973435,"April 7, 2021",Ohio,Dayton,"Hoover Ave and Summit Square",0,4,N/A
1969899,"April 6, 2021","District of Columbia",Washington,"4100 block of Ames St NE",0,4,N/A
1970245,"April 6, 2021",Michigan,Detroit,"6100 block of Lodewyck St",1,3,N/A
1970378,"April 5, 2021",Illinois,Chicago,"6800 block of S Justine Ave",0,7,N/A
1969065,"April 5, 2021",Maryland,Baltimore,"300 block of N Eutaw St",0,5,N/A
1969505,"April 4, 2021",Louisiana,Monroe,"207 Sterlington Rd",0,6,N/A
1968887,"April 4, 2021",Alabama,Birmingham,"3969 14th Ave N",1,5,N/A
1969633,"April 4, 2021",Texas,Beaumont,"6035 S M L King Jr Pkwy",0,4,N/A
1967914,"April 3, 2021","North Carolina",Wilmington,"718 Kidder St",3,4,N/A
1967893,"April 3, 2021",Alabama,Tuscaloosa,"2314 4th St",0,5,N/A
1969221,"April 3, 2021",Texas,Allen,"1517 Pine Bluff Dr",6,0,N/A
1968553,"April 3, 2021",Florida,Quincy,"2114 Pat Thomas Parkway",0,7,N/A
1966181,"March 31, 2021",California,Orange,"202 West Lincoln Ave",4,2,N/A
1965890,"March 31, 2021","District of Columbia",Washington,"1300 block of Congress St SE",2,3,N/A
1963556,"March 28, 2021",Ohio,Cleveland,"5100 Pearl Rd",0,7,N/A
1964085,"March 28, 2021",Illinois,Chicago,"I-57 and W 127th St",0,4,N/A
1963598,"March 28, 2021",Maryland,Essex,"1601 Middleborough Rd",5,1,N/A
1964030,"March 28, 2021",Texas,"San Antonio","2011 Dollarhide Ave",0,4,N/A
1963052,"March 27, 2021",Illinois,Chicago,"500 block of N Leamington Ave",0,4,N/A
1962934,"March 27, 2021",Mississippi,"Yazoo City","Dr Martin Luther King Jr Dr and Shady Dr",0,6,N/A
1962686,"March 27, 2021",Illinois,"River Grove","Belmont Ave",1,3,N/A
1962562,"March 26, 2021",Virginia,"Virginia Beach","2000 block of Atlantic Ave",0,9,N/A
1961753,"March 26, 2021",Illinois,Chicago,"2515 W 79th St",1,7,N/A
1964271,"March 26, 2021",Virginia,Norfolk,"100 block of W Balview Ave",0,4,N/A
1962890,"March 26, 2021",Tennessee,Memphis,"500 block of Arrington Ave",3,2,N/A
1962507,"March 26, 2021",Pennsylvania,Philadelphia,"1080 N Delaware Ave",0,7,N/A
1960283,"March 23, 2021",Alabama,Aliceville,"1st Ave SW and 15th St",2,2,N/A
