"Country code","Country name","Series code","Series name","SCALE","Decimals","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"ABW","Aruba","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"29.574809999999999","..","..","..","..","..","..","..","..","..","29.574809999999999","..","..","..","..","..","..","..","..","..","..",".."
"ADO","Andorra","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0","..","..","..","..","..","..","..","..","..","0","..","..","..","..","..","..","..","..","..","..",".."
"AFG","Afghanistan","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0","..","..","..","..","..","..","..","..","..","0","..","..","..","..","..","..","..","..","..","..",".."
"AGO","Angola","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0.20823459999999999","..","..","..","..","..","..","..","..","..","0.20823459999999999","..","..","..","..","..","..","..","..","..","..",".."
"ALB","Albania","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"4.9678750000000003","..","..","..","..","..","..","..","..","..","4.9678750000000003","..","..","..","..","..","..","..","..","..","..",".."
"ARE","United Arab Emirates","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"4.6445150000000002","..","..","..","..","..","..","..","..","..","4.6445150000000002","..","..","..","..","..","..","..","..","..","..",".."
"ARG","Argentina","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"1.2305349999999999","..","..","..","..","..","..","..","..","..","1.2305349999999999","..","..","..","..","..","..","..","..","..","..",".."
"ARM","Armenia","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0","..","..","..","..","..","..","..","..","..","0","..","..","..","..","..","..","..","..","..","..",".."
"ASM","American Samoa","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"17.892620000000001","..","..","..","..","..","..","..","..","..","17.892620000000001","..","..","..","..","..","..","..","..","..","..",".."
"ATG","Antigua and Barbuda","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"32.423169999999999","..","..","..","..","..","..","..","..","..","32.423169999999999","..","..","..","..","..","..","..","..","..","..",".."
"AUS","Australia","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"1.141535","..","..","..","..","..","..","..","..","..","1.141535","..","..","..","..","..","..","..","..","..","..",".."
"AUT","Austria","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0","..","..","..","..","..","..","..","..","..","0","..","..","..","..","..","..","..","..","..","..",".."
"AZE","Azerbaijan","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"19.96988","..","..","..","..","..","..","..","..","..","19.96988","..","..","..","..","..","..","..","..","..","..",".."
"BDI","Burundi","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0","..","..","..","..","..","..","..","..","..","0","..","..","..","..","..","..","..","..","..","..",".."
"BEL","Belgium","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"9.2422760000000004","..","..","..","..","..","..","..","..","..","9.2422760000000004","..","..","..","..","..","..","..","..","..","..",".."
"BEN","Benin","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"1.155602","..","..","..","..","..","..","..","..","..","1.155602","..","..","..","..","..","..","..","..","..","..",".."
"BFA","Burkina Faso","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0","..","..","..","..","..","..","..","..","..","0","..","..","..","..","..","..","..","..","..","..",".."
"BGD","Bangladesh","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"14.06936","..","..","..","..","..","..","..","..","..","14.06936","..","..","..","..","..","..","..","..","..","..",".."
"BGR","Bulgaria","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0.42969980000000002","..","..","..","..","..","..","..","..","..","0.42969980000000002","..","..","..","..","..","..","..","..","..","..",".."
"BHR","Bahrain","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"39.03492","..","..","..","..","..","..","..","..","..","39.03492","..","..","..","..","..","..","..","..","..","..",".."
"BHS","Bahamas, The","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"71.986090000000004","..","..","..","..","..","..","..","..","..","71.986090000000004","..","..","..","..","..","..","..","..","..","..",".."
"BIH","Bosnia and Herzegovina","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0.073221659999999994","..","..","..","..","..","..","..","..","..","0.073221659999999994","..","..","..","..","..","..","..","..","..","..",".."
"BLR","Belarus","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0","..","..","..","..","..","..","..","..","..","0","..","..","..","..","..","..","..","..","..","..",".."
"BLZ","Belize","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"9.4542439999999992","..","..","..","..","..","..","..","..","..","9.4542439999999992","..","..","..","..","..","..","..","..","..","..",".."
"BMU","Bermuda","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"82.263670000000005","..","..","..","..","..","..","..","..","..","82.263670000000005","..","..","..","..","..","..","..","..","..","..",".."
"BOL","Bolivia","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0","..","..","..","..","..","..","..","..","..","0","..","..","..","..","..","..","..","..","..","..",".."
"BRA","Brazil","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"1.2123409999999999","..","..","..","..","..","..","..","..","..","1.2123409999999999","..","..","..","..","..","..","..","..","..","..",".."
"BRB","Barbados","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"15.69373","..","..","..","..","..","..","..","..","..","15.69373","..","..","..","..","..","..","..","..","..","..",".."
"BRN","Brunei Darussalam","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"3.3356029999999999","..","..","..","..","..","..","..","..","..","3.3356029999999999","..","..","..","..","..","..","..","..","..","..",".."
"BTN","Bhutan","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0","..","..","..","..","..","..","..","..","..","0","..","..","..","..","..","..","..","..","..","..",".."
"BWA","Botswana","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0","..","..","..","..","..","..","..","..","..","0","..","..","..","..","..","..","..","..","..","..",".."
"CAF","Central African Republic","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0","..","..","..","..","..","..","..","..","..","0","..","..","..","..","..","..","..","..","..","..",".."
"CAN","Canada","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"2.3930229999999999","..","..","..","..","..","..","..","..","..","2.3930229999999999","..","..","..","..","..","..","..","..","..","..",".."
"CHE","Switzerland","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0","..","..","..","..","..","..","..","..","..","0","..","..","..","..","..","..","..","..","..","..",".."
"CHI","Channel Islands","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"CHL","Chile","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"3.0806789999999999","..","..","..","..","..","..","..","..","..","3.0806789999999999","..","..","..","..","..","..","..","..","..","..",".."
"CHN","China","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"1.382015","..","..","..","..","..","..","..","..","..","1.382015","..","..","..","..","..","..","..","..","..","..",".."
"CIV","Cote d'Ivoire","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0.19276799999999999","..","..","..","..","..","..","..","..","..","0.19276799999999999","..","..","..","..","..","..","..","..","..","..",".."
"CMR","Cameroon","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0.083561559999999993","..","..","..","..","..","..","..","..","..","0.083561559999999993","..","..","..","..","..","..","..","..","..","..",".."
"COG","Congo, Rep.","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0.054973340000000002","..","..","..","..","..","..","..","..","..","0.054973340000000002","..","..","..","..","..","..","..","..","..","..",".."
"COK","Cook Islands","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"87.867890000000003","..","..","..","..","..","..","..","..","..","87.867890000000003","..","..","..","..","..","..","..","..","..","..",".."
"COL","Colombia","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0.94309909999999997","..","..","..","..","..","..","..","..","..","0.94309909999999997","..","..","..","..","..","..","..","..","..","..",".."
